sede_id,sede_desc_ingles,pais_iso_3,pais_ingles,ciudad_ingles,estado,sede_tipo
CRECI,Consulate  in  Recife,BRA,FEDERATIVE  REPUBLIC  OF  BRAZIL,Recife,Activo,Consulado
CRIOJ,Consulate  General  in  Rio  de  Janeiro,BRA,FEDERATIVE  REPUBLIC  OF  BRAZIL,Rio  de  Janeiro,Activo,Consulado
CROMA,Consulate  General  in  Rome,ITA,ITALIAN  REPUBLIC,Rome,Activo,Consulado
CSBAH,Consulate  in  Sao  Salvador  de  Bahia,BRA,FEDERATIVE  REPUBLIC  OF  BRAZIL,Sao  Salvador  de  Bahia,Activo,Consulado
CSCRS,Consulate  General  and  Promotion  Center  in  Santa  Cruz,BOL,PLURINATIONAL  STATE  OF  BOLIVIA,Santa  Cruz,Activo,Consulado  General  y  Centro  de  Promoción 
CSHAN,Consulate  General  and  Promotion  Center  in  Shangai,CHN,PEOPLE’S  REPUBLIC  OF  CHINA,Shanghái,Activo,Consulado  General  y  Centro  de  Promoción 
CSIDN,Consulate  General  in  Sydney,AUS,AUSTRALIA,Sydney,Activo,Consulado
CSIGO,Consulate  General  in  Santiago,CHL,REPUBLIC  OF  CHILE,Santiago,Activo,Consulado
CSLTO,Consulate  in  Salto,URY,REPUBLIC  OF  URUGUAY,Salto,Activo,Consulado
CTARI,Consulate  General  in  Tarija,BOL,PLURINATIONAL  STATE  OF  BOLIVIA,Tarija,Activo,Consulado
CTENE,Consulate  in  Tenerife,ESP,KINGDOM  OF  SPAIN,Tenerife,Activo,Consulado
CTORO,Consulate  General  in  Toronto,CAN,CANADA,Toronto,Activo,Consulado
CURUG,Consulate  in  Uruguayana,BRA,FEDERATIVE  REPUBLIC  OF  BRAZIL,Uruguayana,Activo,Consulado
CVALP,Consulate  General  in  Valparaiso,CHL,REPUBLIC  OF  CHILE,Valparaiso,Activo,Consulado
CVIGO,Consulate  General  in  Vigo,ESP,KINGDOM  OF  SPAIN,Vigo,Activo,Consulado
CVILL,Consulate  in  Villazon,BOL,PLURINATIONAL  STATE  OF  BOLIVIA,Villazon,Activo,Consulado
CYACU,Consulate  in  Yacuiba,BOL,PLURINATIONAL  STATE  OF  BOLIVIA,Yacuiba,Activo,Consulado
DIGAC,Argentines  abroad,ARG,ARGENTINE  REPUBLIC,Argentines  abroad,Activo,Sede  Fija 
EALEM,Embassy  in  GERMANY,DEU,FEDERAL  REPUBLIC  OF  GERMANY,Berlin,Activo,Embajada
EANGO,Embassy  in  Angola,AGO,REPUBLIC  OF  ANGOLA,Luanda  ,Activo,Embajada
EARAB,Embassy  in  Saudi  Arabia,SAU,KINGDOM  OF  SAUDI  ARABIA,Riyad,Activo,Embajada
EARGE,Embassy  in  Algeria,DZA,PEOPLE’S  DEMOCRATIC  REPUBLIC  OF  ALGERIA,Algiers,Activo,Embajada
EARME,Embassy  in  Armenia,ARM,REPUBLIC  OF  ARMENIA,Yerevan,Activo,Embajada
EASIR,Embassy  in  Syria,SYR,SYRIAN  ARAB  REPUBLIC,Damasco,Activo,Embajada
EAUST,Embassy  in  Australia,AUS,AUSTRALIA,Canberra,Activo,Embajada
EAZER,Embassy  in  Azerbaijan,AZE,REPUBLIC  OF  AZERBAIJAN,Baku,Activo,Embajada
EBANG,Embassy  in  Bangladesh,BGD,PEOPLE’S  REPUBLIC  OF  BANGLADESH,Daca,Activo,Embajada
EBARB,Embassy  in  Barbados,BRB,BARBADOS,Bridgetown,Activo,Embajada
EBELG,Embassy  in  Belgium,BEL,KINGDOM  OF  BELGIUM,Brussels,Activo,Embajada
EBOLV,Embassy  in  Bolivia,BOL,PLURINATIONAL  STATE  OF  BOLIVIA,La  Paz,Activo,Embajada
EBRAS,Embassy  in  Brazil,BRA,FEDERATIVE  REPUBLIC  OF  BRAZIL,Brasilia,Activo,Embajada
EBULG,Embassy  in  Bulgaria,BGR,REPUBLIC  OF  BULGARIA,Sofia,Activo,Embajada
ECANA,Embassy  in  Canada,CAN,CANADA,Ottawa,Activo,Embajada
ECEUR,Embassy  to  the  European  Union,BEL,KINGDOM  OF  BELGIUM,Brussels,Activo,Misión  Permanente 
ECHES,Embassy  in  Czechia,CZE,CZECH  REPUBLIC,Prague,Activo,Embajada
ECHIN,Embassy  in  China,CHN,PEOPLE’S  REPUBLIC  OF  CHINA,Beijing,Activo,Embajada
ECOLO,Embassy  in  Colombia,COL,REPUBLIC  OF  COLOMBIA,Bogota,Activo,Embajada
ECORE,Embassy  in  South  Korea,KOR,REPUBLIC  OF  KOREA,Seoul,Activo,Embajada
ECUBA,Embassy  in  Cuba,CUB,REPUBLIC  OF  CUBA,Havanna,Activo,Embajada
EDINA,Embassy  in  Danmark,DNK,KINGDOM  OF  DANMARK,Copenhagen,Activo,Embajada
EDOMI,Embassy  in  Dominican  Republic,DOM,DOMINICAN  REPUBLIC,Santo  Domingo,Activo,Embajada
EEARB,Embassy  in  the  United  Arab  Emirates,ARE,UNITED  ARAB  EMIRATES,Abu  Dhabi,Activo,Embajada
EECUA,Embassy  in  Ecuador,ECU,REPUBLIC  OF  ECUADOR,Quito,Activo,Embajada
EEEUU,Embassy  in  United  States,USA,UNITED  STATES  OF  AMERICA,Washington,Activo,Embajada
EEGIP,Embassy  in  Egypt,EGY,ARAB  REPUBLIC  OF  EGYPT,El  Cairo,Activo,Embajada
EEOEA,Permanent  Mission  to  the  Organization  of  American  States,USA,UNITED  STATES  OF  AMERICA,Washington,Activo,Misión  Permanente 
EESPA,Embassy  in  Spain,ESP,KINGDOM  OF  SPAIN,Madrid,Activo,Embajada
EETIO,Embassy  in  Ethiopia,ETH,FEDERAL  DEMOCRATIC  REPUBLIC  OF  ETHIOPIA,Addis  Ababa,Activo,Embajada
EFILI,Embassy  in  the  Philippines,PHL,REPUBLIC  OF  THE  PHILIPPINES,Manila,Activo,Embajada
EFINL,Embassy  in  Finland,FIN,REPUBLIC  OF  FINLAND,Helsinki,Activo,Embajada
EFRAN,Embassy  in  France,FRA,FRENCH  REPUBLIC,Paris,Activo,Embajada
EFRUS,Embassy  in  Russia,RUS,RUSSIAN  FEDERATION,Moscow,Activo,Embajada
EGREC,Embassy  in  Greece,GRC,HELLENIC  REPUBLIC,Athens,Activo,Embajada
EGUAT,Embassy  in  Guatemala,GTM,REPUBLIC  OF  GUATEMALA,Guatemala,Activo,Embajada
EGUYA,Embassy  in  Guyana,GUY,GUYANA,Georgetown,Activo,Embajada
EHAIT,Embassy  in  Haiti,HTI,REPUBLIC  OF  HAITI,Port-au-Prince,Activo,Embajada
EHILE,Embassy  in  Chile,CHL,REPUBLIC  OF  CHILE,Santiago,Activo,Embajada
EHOND,Embassy  in  Honduras,HND,REPUBLIC  OF  HONDURAS,Tegucigalpa,Activo,Embajada
EINDI,Embassy  in  India,IND,REPUBLIC  OF  INDIA,New  Delhi,Activo,Embajada
EIRAN,Embassy  in  Iran,IRN,ISLAMIC  REPUBLIC  OF  IRAN,Teheran,Activo,Embajada
EIRLA,Embassy  in  Irlanda,IRL,IRELAND,Dublin,Activo,Embajada
EISIA,Embassy  in  Indonesia,IDN,REPUBLIC  OF  INDONESIA,Jakarta,Activo,Embajada
EISRA,Embassy  in  Israel,ISR,STATE  OF  ISRAEL,Tel  Aviv,Activo,Embajada
EITAL,Embassy  in  Italy,ITA,ITALIAN  REPUBLIC,Rome,Activo,Embajada
EJAMA,Embassy  in  Jamaica,JAM,JAMAICA,Kingston,Activo,Embajada
EJAPO,Embassy  in  Japan,JPN,JAPAN,Tokyo,Activo,Embajada
EKENY,Embassy  in  Kenya,KEN,REPUBLIC  OF  KENYA,Nairobi,Activo,Embajada
EKUWA,Embassy  in  Kuwait,KWT,STATE  OF  KUWAIT,Kuwait,Activo,Embajada
ELBIA,Embassy  in  Libya,LBY,STATE  OF  LIBYA,Tripoli,Activo,Embajada
ELBNO,Embassy  in  Lebanon,LBN,LEBANESE  REPUBLIC,Beirut,Activo,Embajada
ELUCI,Embassy  in  Saint  Lucia,LCA,SAINT  LUCIA,Castries,Inactivo,Embajada
EMARR,Embassy  in  Morocco,MAR,KINGDOM  OF  MOROCCO,Rabat,Activo,Embajada
EMEXI,Embassy  in  Mexico,MEX,UNITED  MEXICAN  STATES,Mexico,Activo,Embajada
EMFAO,Permanent  Mission  to  the  United  Nations  Organisation  for  Food  and  Agriculture,ITA,ITALIAN  REPUBLIC,Rome,Activo,Misión  Permanente 
EMOZA,Embassy  in  Mozambique,MOZ,REPUBLIC  OF  MOZAMBIQUE,Maputo,Activo,Embajada
EMSIA,Embassy  in  Malaysia,MYS,MALAYSIA,Kuala  Lumpur,Activo,Embajada
EMSUR,Permanent  Mission  for  MERCOSUR  and  ALADI,URY,REPUBLIC  OF  URUGUAY,Montevideo,Activo,Misión  Permanente 
ENAUN,Permanent  Mission  to  the  United  Nations,USA,UNITED  STATES  OF  AMERICA,New  York,Activo,Misión  Permanente 
ENICA,Embassy  in  Nicaragua,NIC,REPUBLIC  OF  NICARAGUA,Managua,Activo,Embajada
ENIGE,Embassy  in  Nigeria,NGA,FEDERAL  REPUBLIC  OF  NIGERIA,Abuja,Activo,Embajada
ENORU,Embassy  in  Norway,NOR,KINGDOM  OF  NORWAY,Oslo,Activo,Embajada
ENZEL,Embassy  in  New  Zeland,NZL,NEW  ZEALAND,Wellington,Activo,Embajada
EOIRS,Permanent  Mission  to  the  International  Organisations  in  Geneve,CHE,SWISS  CONFEDERATION,Ginebra,Activo,Misión  Permanente 
EPAKI,Embassy  in  Pakistan,PAK,ISLAMIC  REPUBLIC  OF  PAKISTAN,Islamabad,Activo,Embajada
EPARA,Embassy  in  Paraguay,PRY,REPUBLIC  OF  PARAGUAY,Asuncion,Activo,Embajada
EPBAJ,Embassy  in  Netherlands,NLD,KINGDOM  OF  THE  NETHERLANDS,The  Hague,Activo,Embajada
EPERU,Embassy  in  Peru,PER,REPUBLIC  OF  PERU,Lima,Activo,Embajada
