sede_id,sede_desc_ingles,pais_iso_3,sede_tipo
EMEXI,Embassy  in  Mexico,MEX,Embajada
EMOZA,Embassy  in  Mozambique,MOZ,Embajada
EMSIA,Embassy  in  Malaysia,MYS,Embajada
ENIGE,Embassy  in  Nigeria,NGA,Embajada
ENICA,Embassy  in  Nicaragua,NIC,Embajada
EPBAJ,Embassy  in  Netherlands,NLD,Embajada
ENORU,Embassy  in  Norway,NOR,Embajada
ENZEL,Embassy  in  New  Zeland,NZL,Embajada
EPAKI,Embassy  in  Pakistan,PAK,Embajada
EPNMA,Embassy  in  Panama,PAN,Embajada
CLIMA,Consulate  General  in  Lima,PER,Consulado
EPERU,Embassy  in  Peru,PER,Embajada
EFILI,Embassy  in  the  Philippines,PHL,Embajada
EPOLO,Embassy  in  Poland,POL,Embajada
EPORT,Embassy  in  Portugal,PRT,Embajada
CASUN,Consulate  General  in  Asuncion,PRY,Consulado
CCEST,Consulate  General  in  Ciudad  del  Este,PRY,Consulado
CENCA,Consulate  General  in  Encarnacion,PRY,Consulado
EPARA,Embassy  in  Paraguay,PRY,Embajada
REPAL,Representation  Office  in  the  State  of  Palestine,PSE,Embajada
EQATR,Embassy  in  Qatar,QAT,Embajada
ERUMA,Embassy  in  Romania,ROU,Embajada
EFRUS,Embassy  in  Russia,RUS,Embajada
EARAB,Embassy  in  Saudi  Arabia,SAU,Embajada
ESENE,Embassy  in  Senegal,SEN,Embajada
ESING,Embassy  in  Singapore,SGP,Embajada
ESALV,Embassy  in  El  Salvador,SLV,Embajada
ESERB,Embassy  in  Serbia,SRB,Embajada
ESURI,Embassy  in  Suriname,SUR,Embajada
ESUEC,Embassy  in  Sweden,SWE,Embajada
ETAIL,Embassy  in  Thailand,THA,Embajada
ETRIN,Embassy  in  Trinidad  and  Tobago,TTO,Embajada
ETUNE,Embassy  in  Tunisia,TUN,Embajada
CGEST,Consulate  General  and  Promotion  Center  in  Istambul,TUR,Consulado  General  y  Centro  de  Promoción
ETURQ,Embassy  in  Türkiye,TUR,Embajada
EUCRA,Embassy  in  Ukraine,UKR,Embajada
CCOLO,Consulate  in  Colonia,URY,Consulado
CFBEN,Consulate  in  Fray  Bentos,URY,Consulado
CMALD,Consulate  in  Maldonado,URY,Consulado
CMDEO,Consulate  General  in  Montevideo,URY,Consulado
CPAYS,Consulate  in  Paysandu,URY,Consulado
