sede_id,sede_desc_castellano
ECOLO,Jefe  de  Cancillería
ECOLO,Sección  Administrativa
ECOLO,Sección  Consular
ECOLO,"Sección  Cultural, Educativa  y  Cooperación  Judicial"
ECOLO,"Sección  Económica, Comercial  y  Turismo"
ECOLO,"Sección  Política, Tecnología  y  Ciencia"
ECORE,Sección  Consular
ECORE,"Sección  Cultural, Educación  y  Turismo"
ECORE,Sección  de  Administración  
ECORE,Sección  Económica  y  Comercial
ECORE,Sección  Política
ECUBA,Sección  Administrativa
ECUBA,Sección  Consular
ECUBA,Sección  Cooperación
ECUBA,Sección  Cultural
ECUBA,Sección  Económica  y  Comercial
EDINA,Sección  Administrativa
EDINA,Sección  Comercial
EDINA,Sección  Consular
EDINA,Sección  Cultural
EDOMI,Sección  Administración
EDOMI,Sección  Consular
EDOMI,Sección  Económica  y  Comercial
EEARB,Sección  Consular
EEARB,"Sección  Económica, Comercial  y  de  Inversiones  /  Oficina  Comercial  en  Dubai"
EEARB,Sección  Política
EECUA,Administración  y  Logística
EECUA,Agregaduria  Militar
EECUA,Sección  Consular
EECUA,Sección  Cultural
EECUA,Sección  Económica  y  Comercial
EECUA,Sección  Educación  y  Cooperación
EECUA,Sección  Política
EECUA,Sección  Prensa
EEEUU,Agregaduria  Aeronautica
EEEUU,Agregaduria  Militar
EEEUU,Agregaduria  Naval
EEEUU,Consejería  Agrícola
EEEUU,Jefe  de  Cancillería
EEEUU,Prensa
EEEUU,Sección  Administrativa  y  Recursos  Humanos
EEEUU,Sección  Consular
EEEUU,Sección  Cultural  y  de  Diplomacia  Pública
EEEUU,Sección  Económica  y  Comercial
EEEUU,Sección  Política
EEGIP,Agregaduría  Militar
EEGIP,Sección  Administrativa
EEGIP,Sección  Comercial
EEGIP,Sección  Consular
EEGIP,Sección  Cultural
EEGIP,Sección  Política
EESPA,Jefe  de  Misión  Adjunto
EESPA,Representante  Ministerio  de  Desarrollo  Productivo
EESPA,Sección  Administrativa  y  Recursos  Humanos
EESPA,"Sección  Cultura, Educación  y  Protocolo"
EESPA,Sección  Económica  -  Comercial
EESPA,Sección  Política  y  Cooperación  Jurídica
EESPA,"Sección  Política, Prensa  y  Comunicación"
EETIO,Sección  Consular
EETIO,Sección  Cultural
EETIO,Sección  Económica  y  Comercial
EETIO,Sección  Política
EFILI,Ana  Clara  Pianezza  
EFILI,Andrea  Silvina  Repetti
EFILI,Josefina  Marcela  Gallo  Morando
EFILI,Mauricio  Germán  Muñoz
EFINL,Sección  Comercial  y  de  Inversiones
EFINL,Sección  Consular
EFRAN,Jefe  de  Cancillería
EFRAN,Oficina  Turismo
EFRAN,Sección  Administrativa
EFRAN,Sección  Consular
EFRAN,Sección  Cooperación  Internacional
EFRAN,Sección  Cultural
EFRAN,"Sección  Económica, Comercial, Promoción  e  Inversiones"
EFRAN,Sección  Organismos  Internacionales  Económicos
EFRAN,"Sección  Política, Asuntos  Juridicos  y  Derechos  Humanos"
EFRUS,Agregaduría  Agrícola
EFRUS,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EFRUS,Asuntos  Estratégicos
EFRUS,Jefe  de  Cancillería
EFRUS,Sección  Administrativa  y  Logística
EFRUS,Sección  Concurrencias
EFRUS,Sección  Consular
EFRUS,"Sección  de  Cultura, Turismo  y  Cooperación  Deportiva"
EFRUS,Sección  de  Prensa  y  Difusión
EFRUS,Sección  Económica  y  Comercial
EFRUS,"Sección  Energía, Ciencia  y  Tecnología"
EFRUS,Sección  Malvinas  Antártida  y  Atlántico  Sur
EFRUS,Sección  Política
EGREC,Sección  Administrativa
EGREC,Sección  Consular
EGREC,Sección  Cultural
EGREC,Sección  Económica  y  Comercial
EGUAT,Agregada  Administrativa
EGUAT,Sección  Consular
EGUAT,Sección  Económica  y  Comercial
EHAIT,Administración
EHAIT,Cooperación  Internacional
EHAIT,Sección  Consular
EHAIT,Sección  Cultural
EHAIT,Sección  de  Prensa
EHAIT,Sección  Económica  y  Comercial
EHAIT,Sección  Política
EHILE,Agregaduria  Aeronáutica
EHILE,Agregaduría  de  Defensa  y  Aeronáutica
EHILE,Agregaduría  de  Gendarmería  Nacional
EHILE,Agregaduria  Militar
EHILE,Agregaduría  Naval
EHILE,Jefe  de  Cancillería
EHILE,Residencia  Oficial
EHILE,Sección  Administrativa
EHILE,Sección  Cultural
EHILE,Sección  Económica  y  Comercial
EHILE,Sección  Jurídica
EHILE,Sección  Política
EHILE,Sección  Prensa
EHILE,Secretaría  Privada
EHOND,Sección  administrativa
EHOND,Sección  Comercial
EHOND,Sección  Consular
EHOND,Sección  Encargado  Cancillería
EINDI,Jefe  de  Cancilleria
EINDI,Sección  Agrícola
EINDI,Sección  Económica  y  Comercial
EINDI,Sección  Política
EIRAN,Sección  Consular
EIRLA,Sección  Consular
EIRLA,Sección  Cultural
EIRLA,Sección  Económica  y    Comercial
EIRLA,Sección  Política
EISIA,Agregado  Administrativo
EISIA,Sección  Consular
EISIA,Sección  Cultural
EISIA,Sección  Económica  y  Comercial
EISIA,Sección  Política
EISRA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EISRA,Sección  Económico-Comercial  y  de  Cooperación
EISRA,Sección  Política  y  Cultural
EITAL,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EITAL,Jefe  de  Cancillería
EITAL,"Oficina  de  Derechos  Humanos, Géneros  y  Diversidad"
EITAL,Sección  Administrativa
EITAL,"Sección  Cultural, Educación, Ciencia  y  Tecnología  "
EITAL,Sección  de  Cooperación  Internacional
EITAL,"Sección  de  Diplomacia  Pública, Comunicación  y  Prensa"
EITAL,Sección  de  Promoción  Comercial  y  Turismo
EITAL,Sección  Económica  y  Promoción  de  Inversiones
EITAL,Sección  Política
EJAMA,Sección  Consular  
EJAMA,Sección  Cultural
EJAMA,Sección  Económica  y  Comercial
EJAPO,Administrativa
EJAPO,Cooperación
EJAPO,Política
EJAPO,Sección  Consular
EJAPO,Sección  Cultural  
EJAPO,Sección  Económica  -  Comercial  
EKENY,Administración
EKENY,Asuntos  Multilaterales  (PNUMA-ONU  Hábitat)
EKENY,Consular  
EKENY,Cultural
EKENY,Económica  -  Comercial
EKENY,Política  y  Cooperación    
EKUWA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EKUWA,Sección  Administrativa
EKUWA,Sección  Consular
EKUWA,Sección  Cultural
EKUWA,Sección  Económica  y  Comercial
ELBIA,Sección  Consular
ELBIA,Sección  Económica  Comercial
ELBNO,Sección  Administrativa  Contable
ELBNO,Sección  Consular
ELBNO,Sección  Cultural
ELBNO,Sección  Económica  -  Comercial  e  Inversiones
ELBNO,Sección  Política
EMARR,Sección  Administrativa
EMARR,Sección  Consular
EMARR,Sección  Cultural
EMARR,Sección  Económica  y  Comercial
EMARR,Sección  Política
EMEXI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EMEXI,Jefe  de  Misión
EMEXI,Negociaciones  Económicas  Bilaterales
EMEXI,Sección  Administrativa  y  Recursos  Humanos  
EMEXI,Sección  Comercial
EMEXI,Sección  Cultural
EMEXI,Sección  de  Prensa
EMEXI,Sección  Política
EMEXI,"Secciones  Cooperación, Educación, Turismo  y  Belice"
EMOZA,Jefe  de  Cancillería
EMOZA,Sección  Consular
EMOZA,Sección  Cultural
EMOZA,Sección  de  Administración  y  Finanzas
EMOZA,Sección  de  Cooperación  Internacional  y  Ayuda  Humanitaria
EMOZA,Sección  de  Prensa  y  Difusión
EMOZA,Sección  Económica  y  Comercial  
EMOZA,Sección  Política
EMSIA,Sección  Consular
EMSIA,Sección  Económica  y  Comercial
EMSIA,Sección  Política
ENICA,SECCION  CONSULAR
ENIGE,Asuntos  Culturales  y  Prensa
